"JulianDay","Species","Stock","District","MMDD","OriginDate","PercentEscape","fit_link","se_link","fit_resp","se_upr","se_lwr","LowerSEG","UpperSEG","LowerSEG_se_upr","LowerSEG_se_lwr","UpperSEG_se_upr","UpperSEG_se_lwr","YEAR.RANGE","TYPE.STOCK"
132,"Chum Salmon","Kamishak District","Kamishak","05-12",0-05-12,0,-8.44213524463586,0.327069736660709,0.00021554285378428,0,0,0,0,0,0,0,0,"All","Aggregate"
133,"Chum Salmon","Kamishak District","Kamishak","05-13",0-05-13,0,-8.34884036653206,0.323448365775566,0.000236614810932516,0,0,0,0,0,0,0,0,"All","Aggregate"
134,"Chum Salmon","Kamishak District","Kamishak","05-14",0-05-14,0,-8.25554548842827,0.31982814489653,0.000259746275092657,0,0,0,0,0,0,0,0,"All","Aggregate"
135,"Chum Salmon","Kamishak District","Kamishak","05-15",0-05-15,0,-8.16225061032447,0.31620911352224,0.000285138426267647,0,0,0,0,0,0,0,0,"All","Aggregate"
136,"Chum Salmon","Kamishak District","Kamishak","05-16",0-05-16,0,-8.06895573222068,0.312591312967234,0.000313012073935873,0.001,0,0,0,50,0,115,0,"All","Aggregate"
137,"Chum Salmon","Kamishak District","Kamishak","05-17",0-05-17,0,-7.97566085411688,0.308974786466681,0.000343609567717222,0.001,0,0,0,50,0,115,0,"All","Aggregate"
138,"Chum Salmon","Kamishak District","Kamishak","05-18",0-05-18,0,-7.88236597601309,0.305359579288379,0.000377196893070024,0.001,0,0,0,50,0,115,0,"All","Aggregate"
139,"Chum Salmon","Kamishak District","Kamishak","05-19",0-05-19,0,-7.78907109790929,0.30174573885262,0.000414065969743018,0.001,0,0,0,50,0,115,0,"All","Aggregate"
140,"Chum Salmon","Kamishak District","Kamishak","05-20",0-05-20,0,-7.6957762198055,0.298133314860558,0.000454537172364188,0.001,0,0,0,50,0,115,0,"All","Aggregate"
141,"Chum Salmon","Kamishak District","Kamishak","05-21",0-05-21,0,-7.6024813417017,0.294522359431791,0.000498962094352744,0.001,0,0,0,50,0,115,0,"All","Aggregate"
142,"Chum Salmon","Kamishak District","Kamishak","05-22",0-05-22,0.001,-7.5091864635979,0.29091292725193,0.000547726578302964,0.001,0,50,115,50,0,115,0,"All","Aggregate"
143,"Chum Salmon","Kamishak District","Kamishak","05-23",0-05-23,0.001,-7.41589158549411,0.287305075731003,0.000601254038120621,0.001,0,50,115,50,0,115,0,"All","Aggregate"
144,"Chum Salmon","Kamishak District","Kamishak","05-24",0-05-24,0.001,-7.32259670739031,0.283698865173622,0.000660009100506462,0.001,0,50,115,50,0,115,0,"All","Aggregate"
145,"Chum Salmon","Kamishak District","Kamishak","05-25",0-05-25,0.001,-7.22930182928652,0.280094358961937,0.000724501595889072,0.001,0,50,115,50,0,115,0,"All","Aggregate"
146,"Chum Salmon","Kamishak District","Kamishak","05-26",0-05-26,0.001,-7.13600695118272,0.27649162375249,0.000795290931623756,0.001,0.001,50,115,50,50,115,115,"All","Aggregate"
147,"Chum Salmon","Kamishak District","Kamishak","05-27",0-05-27,0.001,-7.04271207307893,0.272890729688226,0.000872990883207404,0.001,0.001,50,115,50,50,115,115,"All","Aggregate"
148,"Chum Salmon","Kamishak District","Kamishak","05-28",0-05-28,0.001,-6.94941719497513,0.26929175062699,0.000958274842423524,0.001,0.001,50,115,50,50,115,115,"All","Aggregate"
149,"Chum Salmon","Kamishak District","Kamishak","05-29",0-05-29,0.001,-6.85612231687134,0.265694764388045,0.00105188156473813,0.002,0.001,50,115,100,50,230,115,"All","Aggregate"
150,"Chum Salmon","Kamishak District","Kamishak","05-30",0-05-30,0.001,-6.76282743876754,0.262099853018238,0.00115462146192629,0.002,0.001,50,115,100,50,230,115,"All","Aggregate"
151,"Chum Salmon","Kamishak District","Kamishak","05-31",0-05-31,0.001,-6.66953256066375,0.258507103079661,0.00126738348982918,0.002,0.001,50,115,100,50,230,115,"All","Aggregate"
152,"Chum Salmon","Kamishak District","Kamishak","06-01",0-06-01,0.001,-6.57623768255995,0.254916605960828,0.00139114268532883,0.002,0.001,50,115,100,50,230,115,"All","Aggregate"
153,"Chum Salmon","Kamishak District","Kamishak","06-02",0-06-02,0.002,-6.48294280445615,0.251328458213611,0.00152696841108534,0.002,0.001,100,230,100,50,230,115,"All","Aggregate"
154,"Chum Salmon","Kamishak District","Kamishak","06-03",0-06-03,0.002,-6.38964792635236,0.24774276191842,0.00167603337130784,0.003,0.001,100,230,150,50,345,115,"All","Aggregate"
155,"Chum Salmon","Kamishak District","Kamishak","06-04",0-06-04,0.002,-6.29635304824856,0.244159625080389,0.00183962346681903,0.003,0.001,100,230,150,50,345,115,"All","Aggregate"
156,"Chum Salmon","Kamishak District","Kamishak","06-05",0-06-05,0.002,-6.20305817014477,0.24057916205964,0.00201914856291041,0.003,0.001,100,230,150,50,345,115,"All","Aggregate"
157,"Chum Salmon","Kamishak District","Kamishak","06-06",0-06-06,0.002,-6.10976329204097,0.237001494039033,0.00221615424894728,0.003,0.001,100,230,150,50,345,115,"All","Aggregate"
158,"Chum Salmon","Kamishak District","Kamishak","06-07",0-06-07,0.002,-6.01646841393718,0.233426749533216,0.00243233467433679,0.004,0.002,100,230,200,100,460,230,"All","Aggregate"
159,"Chum Salmon","Kamishak District","Kamishak","06-08",0-06-08,0.003,-5.92317353583338,0.229855064943204,0.00266954655126908,0.004,0.002,150,345,200,100,460,230,"All","Aggregate"
160,"Chum Salmon","Kamishak District","Kamishak","06-09",0-06-09,0.003,-5.82987865772959,0.226286585161251,0.00292982442051622,0.004,0.002,150,345,200,100,460,230,"All","Aggregate"
161,"Chum Salmon","Kamishak District","Kamishak","06-10",0-06-10,0.003,-5.73658377962579,0.222721464231287,0.00321539728243979,0.005,0.002,150,345,250,100,575,230,"All","Aggregate"
162,"Chum Salmon","Kamishak District","Kamishak","06-11",0-06-11,0.004,-5.64328890152199,0.219159866070889,0.00352870670110188,0.005,0.002,200,460,250,100,575,230,"All","Aggregate"
163,"Chum Salmon","Kamishak District","Kamishak","06-12",0-06-12,0.004,-5.5499940234182,0.215601965261416,0.00387242649485344,0.006,0.003,200,460,300,150,690,345,"All","Aggregate"
164,"Chum Salmon","Kamishak District","Kamishak","06-13",0-06-13,0.004,-5.4566991453144,0.212047947913798,0.00424948413180453,0.006,0.003,200,460,300,150,690,345,"All","Aggregate"
165,"Chum Salmon","Kamishak District","Kamishak","06-14",0-06-14,0.005,-5.36340426721061,0.20849801261838,0.00466308395293773,0.007,0.003,250,575,350,150,805,345,"All","Aggregate"
166,"Chum Salmon","Kamishak District","Kamishak","06-15",0-06-15,0.005,-5.27010938910681,0.204952371488276,0.00511673234902465,0.007,0.004,250,575,350,200,805,460,"All","Aggregate"
167,"Chum Salmon","Kamishak District","Kamishak","06-16",0-06-16,0.006,-5.17681451100302,0.201411251306912,0.00561426501960132,0.008,0.004,300,690,400,200,920,460,"All","Aggregate"
168,"Chum Salmon","Kamishak District","Kamishak","06-17",0-06-17,0.006,-5.08351963289922,0.197874894791777,0.00615987644262841,0.009,0.004,300,690,450,200,1035,460,"All","Aggregate"
169,"Chum Salmon","Kamishak District","Kamishak","06-18",0-06-18,0.007,-4.99022475479543,0.194343561988019,0.00675815168159351,0.009,0.005,350,805,450,250,1035,575,"All","Aggregate"
170,"Chum Salmon","Kamishak District","Kamishak","06-19",0-06-19,0.007,-4.89692987669163,0.190817531807269,0.0074141006520903,0.01,0.005,350,805,500,250,1150,575,"All","Aggregate"
171,"Chum Salmon","Kamishak District","Kamishak","06-20",0-06-20,0.008,-4.80363499858784,0.187297103729178,0.00813319496159455,0.011,0.006,400,920,550,300,1265,690,"All","Aggregate"
172,"Chum Salmon","Kamishak District","Kamishak","06-21",0-06-21,0.009,-4.71034012048404,0.183782599685477,0.00892140742337423,0.012,0.007,450,1035,600,350,1380,805,"All","Aggregate"
173,"Chum Salmon","Kamishak District","Kamishak","06-22",0-06-22,0.01,-4.61704524238024,0.180274366149098,0.00978525432718499,0.013,0.007,500,1150,650,350,1495,805,"All","Aggregate"
174,"Chum Salmon","Kamishak District","Kamishak","06-23",0-06-23,0.011,-4.52375036427645,0.176772776454009,0.0107318405244005,0.014,0.008,550,1265,700,400,1610,920,"All","Aggregate"
175,"Chum Salmon","Kamishak District","Kamishak","06-24",0-06-24,0.012,-4.43045548617265,0.173278233374975,0.0117689073520978,0.016,0.009,600,1380,800,450,1840,1035,"All","Aggregate"
176,"Chum Salmon","Kamishak District","Kamishak","06-25",0-06-25,0.013,-4.33716060806886,0.169791172000604,0.0129048833777272,0.017,0.01,650,1495,851,500,1956,1150,"All","Aggregate"
177,"Chum Salmon","Kamishak District","Kamishak","06-26",0-06-26,0.014,-4.24386572996506,0.166312062937775,0.0141489378914861,0.019,0.011,700,1610,950,550,2185,1265,"All","Aggregate"
178,"Chum Salmon","Kamishak District","Kamishak","06-27",0-06-27,0.016,-4.15057085186127,0.162841415891018,0.0155110370052608,0.02,0.012,800,1840,1000,600,2300,1380,"All","Aggregate"
179,"Chum Salmon","Kamishak District","Kamishak","06-28",0-06-28,0.017,-4.05727597375747,0.159379783666742,0.0170020021326449,0.022,0.013,851,1956,1100,650,2530,1495,"All","Aggregate"
180,"Chum Salmon","Kamishak District","Kamishak","06-29",0-06-29,0.019,-3.96398109565368,0.155927766659491,0.0186335705214643,0.024,0.014,950,2185,1200,700,2760,1610,"All","Aggregate"
181,"Chum Salmon","Kamishak District","Kamishak","06-30",0-06-30,0.02,-3.87068621754988,0.152486017885802,0.0204184573856035,0.026,0.016,1000,2300,1300,800,2990,1840,"All","Aggregate"
182,"Chum Salmon","Kamishak District","Kamishak","07-01",0-07-01,0.022,-3.77739133944608,0.149055248640948,0.0223704190337089,0.028,0.018,1100,2530,1400,900,3220,2070,"All","Aggregate"
183,"Chum Salmon","Kamishak District","Kamishak","07-02",0-07-02,0.025,-3.68409646134229,0.145636234865001,0.0245043162154283,0.031,0.019,1250,2875,1550,950,3565,2185,"All","Aggregate"
184,"Chum Salmon","Kamishak District","Kamishak","07-03",0-07-03,0.027,-3.59080158323849,0.142229824317497,0.026836176698107,0.034,0.021,1350,3105,1701,1050,3911,2415,"All","Aggregate"
185,"Chum Salmon","Kamishak District","Kamishak","07-04",0-07-04,0.029,-3.4975067051347,0.13883694467472,0.0293832558453546,0.037,0.024,1450,3335,1850,1200,4255,2760,"All","Aggregate"
186,"Chum Salmon","Kamishak District","Kamishak","07-05",0-07-05,0.032,-3.4042118270309,0.135458612680515,0.0321640936911021,0.04,0.026,1600,3680,2000,1300,4600,2990,"All","Aggregate"
187,"Chum Salmon","Kamishak District","Kamishak","07-06",0-07-06,0.035,-3.31091694892711,0.132095944500736,0.0351985666868426,0.043,0.029,1751,4026,2150,1450,4945,3335,"All","Aggregate"
188,"Chum Salmon","Kamishak District","Kamishak","07-07",0-07-07,0.039,-3.21762207082331,0.128750167453275,0.0385079319449875,0.047,0.031,1950,4485,2350,1550,5405,3565,"All","Aggregate"
189,"Chum Salmon","Kamishak District","Kamishak","07-08",0-07-08,0.042,-3.12432719271952,0.125422633310119,0.0421148614085894,0.051,0.035,2100,4830,2550,1751,5865,4026,"All","Aggregate"
190,"Chum Salmon","Kamishak District","Kamishak","07-09",0-07-09,0.046,-3.03103231461572,0.122114833395193,0.0460434629502384,0.056,0.038,2300,5290,2800,1900,6440,4370,"All","Aggregate"
191,"Chum Salmon","Kamishak District","Kamishak","07-10",0-07-10,0.05,-2.93773743651192,0.118828415731761,0.0503192849469094,0.061,0.042,2500,5750,3050,2100,7015,4830,"All","Aggregate"
192,"Chum Salmon","Kamishak District","Kamishak","07-11",0-07-11,0.055,-2.84444255840813,0.115565204525402,0.0549693004029889,0.066,0.046,2750,6325,3300,2300,7590,5290,"All","Aggregate"
193,"Chum Salmon","Kamishak District","Kamishak","07-12",0-07-12,0.06,-2.75114768030434,0.112327222302383,0.0600218662155945,0.071,0.05,3000,6900,3550,2500,8165,5750,"All","Aggregate"
194,"Chum Salmon","Kamishak District","Kamishak","07-13",0-07-13,0.066,-2.65785280220054,0.109116715057012,0.0655066527154975,0.077,0.055,3300,7590,3850,2750,8855,6325,"All","Aggregate"
195,"Chum Salmon","Kamishak District","Kamishak","07-14",0-07-14,0.071,-2.56455792409674,0.105936180792921,0.0714545382014045,0.084,0.061,3550,8165,4200,3050,9660,7015,"All","Aggregate"
196,"Chum Salmon","Kamishak District","Kamishak","07-15",0-07-15,0.078,-2.47126304599295,0.102788401868309,0.0778974628509232,0.091,0.067,3900,8970,4550,3350,10465,7706,"All","Aggregate"
197,"Chum Salmon","Kamishak District","Kamishak","07-16",0-07-16,0.085,-2.37796816788915,0.099676481568045,0.0848682361828503,0.099,0.073,4250,9775,4950,3650,11385,8395,"All","Aggregate"
198,"Chum Salmon","Kamishak District","Kamishak","07-17",0-07-17,0.092,-2.28467328978536,0.0966038853174228,0.0924002922161002,0.107,0.08,4600,10580,5350,4000,12305,9200,"All","Aggregate"
199,"Chum Salmon","Kamishak District","Kamishak","07-18",0-07-18,0.101,-2.19137841168156,0.0935744869104392,0.100527386682815,0.115,0.087,5050,11615,5750,4350,13225,10005,"All","Aggregate"
200,"Chum Salmon","Kamishak District","Kamishak","07-19",0-07-19,0.109,-2.09808353357776,0.0905926200315197,0.10928323117629,0.125,0.096,5450,12535,6250,4800,14375,11040,"All","Aggregate"
201,"Chum Salmon","Kamishak District","Kamishak","07-20",0-07-20,0.119,-2.00478865547397,0.087663135178317,0.118701060022043,0.135,0.104,5950,13685,6750,5200,15526,11960,"All","Aggregate"
202,"Chum Salmon","Kamishak District","Kamishak","07-21",0-07-21,0.129,-1.91149377737018,0.0847914618101472,0.128813127026205,0.145,0.114,6450,14835,7250,5700,16675,13110,"All","Aggregate"
203,"Chum Salmon","Kamishak District","Kamishak","07-22",0-07-22,0.14,-1.81819889926638,0.0819836751067226,0.139650131146458,0.157,0.124,7001,16101,7850,6200,18055,14260,"All","Aggregate"
204,"Chum Salmon","Kamishak District","Kamishak","07-23",0-07-23,0.151,-1.72490402116258,0.0792465660681951,0.151240572598826,0.169,0.135,7550,17365,8450,6750,19435,15526,"All","Aggregate"
205,"Chum Salmon","Kamishak District","Kamishak","07-24",0-07-24,0.164,-1.63160914305879,0.0765877127527008,0.163610043984687,0.182,0.147,8200,18860,9100,7350,20930,16905,"All","Aggregate"
206,"Chum Salmon","Kamishak District","Kamishak","07-25",0-07-25,0.177,-1.53831426495499,0.0740155491587599,0.176780464684135,0.195,0.16,8850,20355,9750,8000,22425,18400,"All","Aggregate"
207,"Chum Salmon","Kamishak District","Kamishak","07-26",0-07-26,0.191,-1.4450193868512,0.0715394265517176,0.190769270950533,0.21,0.173,9550,21965,10500,8650,24150,19895,"All","Aggregate"
208,"Chum Salmon","Kamishak District","Kamishak","07-27",0-07-27,0.206,-1.3517245087474,0.069169659872791,0.20558857872909,0.225,0.188,10300,23690,11250,9400,25875,21620,"All","Aggregate"
209,"Chum Salmon","Kamishak District","Kamishak","07-28",0-07-28,0.221,-1.2584296306436,0.0669175492974735,0.221244341007845,0.241,0.203,11050,25415,12050,10150,27715,23345,"All","Aggregate"
210,"Chum Salmon","Kamishak District","Kamishak","07-29",0-07-29,0.238,-1.16513475253981,0.0647953642055912,0.23773552621229,0.258,0.219,11900,27370,12900,10950,29670,25185,"All","Aggregate"
211,"Chum Salmon","Kamishak District","Kamishak","07-30",0-07-30,0.255,-1.07183987443602,0.0628162741857859,0.255053348418994,0.275,0.236,12750,29325,13751,11800,31626,27140,"All","Aggregate"
212,"Chum Salmon","Kamishak District","Kamishak","07-31",0-07-31,0.273,-0.978544996332218,0.0609942099229561,0.273180583571174,0.294,0.254,13651,31396,14700,12700,33810,29210,"All","Aggregate"
213,"Chum Salmon","Kamishak District","Kamishak","08-01",0-08-01,0.292,-0.885250118228424,0.059343636955959,0.292091007976917,0.313,0.272,14600,33580,15650,13601,35995,31281,"All","Aggregate"
214,"Chum Salmon","Kamishak District","Kamishak","08-02",0-08-02,0.312,-0.791955240124629,0.0578792286722006,0.311748995708965,0.333,0.292,15600,35880,16650,14600,38295,33580,"All","Aggregate"
215,"Chum Salmon","Kamishak District","Kamishak","08-03",0-08-03,0.332,-0.698660362020831,0.0566154328581026,0.332109309708672,0.353,0.312,16600,38180,17650,15600,40595,35880,"All","Aggregate"
216,"Chum Salmon","Kamishak District","Kamishak","08-04",0-08-04,0.353,-0.605365483917037,0.0555659394343779,0.35311711714412,0.374,0.332,17650,40595,18700,16600,43010,38180,"All","Aggregate"
217,"Chum Salmon","Kamishak District","Kamishak","08-05",0-08-05,0.375,-0.512070605813243,0.0547430751258348,0.374708252772866,0.396,0.354,18750,43125,19800,17700,45540,40710,"All","Aggregate"
218,"Chum Salmon","Kamishak District","Kamishak","08-06",0-08-06,0.397,-0.418775727709445,0.0541571711293512,0.396809744825009,0.418,0.376,19850,45655,20900,18800,48070,43240,"All","Aggregate"
219,"Chum Salmon","Kamishak District","Kamishak","08-07",0-08-07,0.419,-0.32548084960565,0.0538159674885445,0.419340606616497,0.441,0.398,20950,48185,22050,19900,50715,45770,"All","Aggregate"
220,"Chum Salmon","Kamishak District","Kamishak","08-08",0-08-08,0.442,-0.232185971501856,0.0537241267050059,0.442212884346271,0.464,0.42,22100,50830,23200,21000,53360,48300,"All","Aggregate"
221,"Chum Salmon","Kamishak District","Kamishak","08-09",0-08-09,0.465,-0.138891093398058,0.05388292387386,0.465332938168652,0.488,0.443,23250,53475,24400,22150,56120,50945,"All","Aggregate"
222,"Chum Salmon","Kamishak District","Kamishak","08-10",0-08-10,0.489,-0.0455962152942639,0.0542901597130645,0.488602920666116,0.511,0.466,24450,56235,25550,23300,58765,53590,"All","Aggregate"
223,"Chum Salmon","Kamishak District","Kamishak","08-11",0-08-11,0.512,0.0476986628095304,0.0549403099703406,0.511922405337364,0.535,0.489,25600,58880,26750,24450,61525,56235,"All","Aggregate"
224,"Chum Salmon","Kamishak District","Kamishak","08-12",0-08-12,0.535,0.140993540913328,0.0558248881691435,0.535190108662568,0.558,0.512,26750,61525,27901,25600,64171,58880,"All","Aggregate"
225,"Chum Salmon","Kamishak District","Kamishak","08-13",0-08-13,0.558,0.234288419017123,0.0569329683052873,0.558305643533664,0.581,0.535,27901,64171,29050,26750,66815,61525,"All","Aggregate"
226,"Chum Salmon","Kamishak District","Kamishak","08-14",0-08-14,0.581,0.327583297120917,0.0582517972469307,0.581171239881115,0.604,0.558,29050,66815,30200,27901,69460,64171,"All","Aggregate"
227,"Chum Salmon","Kamishak District","Kamishak","08-15",0-08-15,0.604,0.420878175224711,0.0597674254626833,0.60369337037448,0.627,0.58,30200,69460,31350,29000,72105,66700,"All","Aggregate"
228,"Chum Salmon","Kamishak District","Kamishak","08-16",0-08-16,0.626,0.514173053328509,0.0614652964840363,0.625784224929213,0.649,0.602,31300,71990,32450,30100,74635,69230,"All","Aggregate"
229,"Chum Salmon","Kamishak District","Kamishak","08-17",0-08-17,0.647,0.607467931432303,0.0633307544467677,0.647362986870424,0.671,0.623,32350,74405,33550,31150,77165,71645,"All","Aggregate"
230,"Chum Salmon","Kamishak District","Kamishak","08-18",0-08-18,0.668,0.700762809536098,0.0653494491730135,0.668356875158882,0.692,0.644,33400,76820,34600,32200,79580,74060,"All","Aggregate"
231,"Chum Salmon","Kamishak District","Kamishak","08-19",0-08-19,0.689,0.794057687639896,0.0675076352506068,0.688701930071383,0.712,0.664,34450,79235,35600,33200,81880,76360,"All","Aggregate"
232,"Chum Salmon","Kamishak District","Kamishak","08-20",0-08-20,0.708,0.88735256574369,0.069792373426721,0.70834353308674,0.732,0.684,35400,81420,36600,34200,84180,78660,"All","Aggregate"
233,"Chum Salmon","Kamishak District","Kamishak","08-21",0-08-21,0.727,0.980647443847484,0.0721916492499928,0.727236664460869,0.75,0.703,36350,83605,37500,35150,86250,80845,"All","Aggregate"
234,"Chum Salmon","Kamishak District","Kamishak","08-22",0-08-22,0.745,1.07394232195128,0.0746944262701461,0.745345913239412,0.768,0.721,37250,85675,38400,36050,88320,82915,"All","Aggregate"
235,"Chum Salmon","Kamishak District","Kamishak","08-23",0-08-23,0.763,1.16723720005508,0.0772906506099657,0.762645263639328,0.785,0.739,38150,87745,39250,36950,90275,84985,"All","Aggregate"
236,"Chum Salmon","Kamishak District","Kamishak","08-24",0-08-24,0.779,1.26053207815887,0.0799712216305998,0.779117688473244,0.801,0.756,38950,89585,40050,37800,92115,86940,"All","Aggregate"
237,"Chum Salmon","Kamishak District","Kamishak","08-25",0-08-25,0.795,1.35382695626267,0.0827279406728007,0.794754584486204,0.816,0.772,39750,91425,40800,38600,93840,88780,"All","Aggregate"
238,"Chum Salmon","Kamishak District","Kamishak","08-26",0-08-26,0.81,1.44712183436646,0.0855534470861786,0.80955508623849,0.83,0.787,40500,93150,41500,39350,95450,90505,"All","Aggregate"
239,"Chum Salmon","Kamishak District","Kamishak","08-27",0-08-27,0.824,1.54041671247026,0.0884411482862242,0.823525294785695,0.844,0.801,41200,94760,42200,40050,97060,92115,"All","Aggregate"
240,"Chum Salmon","Kamishak District","Kamishak","08-28",0-08-28,0.837,1.63371159057406,0.0913851485392316,0.836677455274915,0.856,0.815,41850,96255,42800,40750,98440,93725,"All","Aggregate"
241,"Chum Salmon","Kamishak District","Kamishak","08-29",0-08-29,0.849,1.72700646867785,0.0943801795843924,0.849029114144094,0.868,0.828,42450,97635,43400,41400,99820,95220,"All","Aggregate"
242,"Chum Salmon","Kamishak District","Kamishak","08-30",0-08-30,0.861,1.82030134678164,0.0974215350152117,0.860602282333131,0.879,0.84,43050,99015,43950,42000,101085,96600,"All","Aggregate"
243,"Chum Salmon","Kamishak District","Kamishak","08-31",0-08-31,0.871,1.91359622488544,0.100505009489832,0.871422626207021,0.889,0.852,43550,100165,44450,42600,102235,97980,"All","Aggregate"
244,"Chum Salmon","Kamishak District","Kamishak","09-01",0-09-01,0.882,2.00689110298924,0.103626843249592,0.881518703107363,0.898,0.862,44100,101430,44900,43100,103270,99130,"All","Aggregate"
245,"Chum Salmon","Kamishak District","Kamishak","09-02",0-09-02,0.891,2.10018598109303,0.106783672032259,0.890921253867703,0.907,0.873,44550,102465,45350,43650,104305,100395,"All","Aggregate"
246,"Chum Salmon","Kamishak District","Kamishak","09-03",0-09-03,0.9,2.19348085919683,0.109972482217162,0.899662560450142,0.915,0.882,45000,103500,45750,44100,105225,101430,"All","Aggregate"
247,"Chum Salmon","Kamishak District","Kamishak","09-04",0-09-04,0.908,2.28677573730062,0.113190570891784,0.907775873211759,0.922,0.891,45400,104420,46100,44550,106030,102465,"All","Aggregate"
248,"Chum Salmon","Kamishak District","Kamishak","09-05",0-09-05,0.915,2.38007061540442,0.116435510451516,0.915294909251896,0.929,0.899,45750,105225,46450,44950,106835,103385,"All","Aggregate"
249,"Chum Salmon","Kamishak District","Kamishak","09-06",0-09-06,0.922,2.47336549350821,0.119705117312901,0.922253420836755,0.935,0.907,46100,106030,46750,45350,107525,104305,"All","Aggregate"
250,"Chum Salmon","Kamishak District","Kamishak","09-07",0-09-07,0.929,2.56666037161201,0.122997424319288,0.928684831019109,0.941,0.914,46450,106835,47050,45700,108215,105110,"All","Aggregate"
251,"Chum Salmon","Kamishak District","Kamishak","09-08",0-09-08,0.935,2.6599552497158,0.126310656434664,0.934621932216267,0.946,0.921,46750,107525,47300,46050,108790,105915,"All","Aggregate"
252,"Chum Salmon","Kamishak District","Kamishak","09-09",0-09-09,0.94,2.7532501278196,0.12964320934868,0.940096642611139,0.951,0.927,47000,108100,47550,46350,109365,106605,"All","Aggregate"
253,"Chum Salmon","Kamishak District","Kamishak","09-10",0-09-10,0.945,2.8465450059234,0.132993630648197,0.94513981472605,0.955,0.933,47250,108675,47750,46650,109825,107295,"All","Aggregate"
254,"Chum Salmon","Kamishak District","Kamishak","09-11",0-09-11,0.95,2.93983988402719,0.136360603244652,0.949781090312829,0.959,0.938,47500,109250,47950,46900,110285,107870,"All","Aggregate"
255,"Chum Salmon","Kamishak District","Kamishak","09-12",0-09-12,0.954,3.03313476213099,0.13974293078004,0.954048795736792,0.963,0.943,47700,109710,48150,47150,110745,108445,"All","Aggregate"
256,"Chum Salmon","Kamishak District","Kamishak","09-13",0-09-13,0.958,3.12642964023478,0.143139524766005,0.957969872244253,0.967,0.947,47900,110170,48350,47350,111205,108905,"All","Aggregate"
257,"Chum Salmon","Kamishak District","Kamishak","09-14",0-09-14,0.962,3.21972451833858,0.146549393239869,0.961569835839957,0.97,0.952,48100,110630,48500,47600,111550,109480,"All","Aggregate"
258,"Chum Salmon","Kamishak District","Kamishak","09-15",0-09-15,0.965,3.31301939644237,0.149971630747962,0.964872761917746,0.972,0.955,48250,110975,48600,47750,111780,109825,"All","Aggregate"
259,"Chum Salmon","Kamishak District","Kamishak","09-16",0-09-16,0.968,3.40631427454617,0.153405409490426,0.967901290249239,0.975,0.959,48400,111320,48750,47950,112125,110285,"All","Aggregate"
260,"Chum Salmon","Kamishak District","Kamishak","09-17",0-09-17,0.971,3.49960915264996,0.156849971482755,0.970676646413566,0.977,0.962,48550,111665,48850,48100,112355,110630,"All","Aggregate"
261,"Chum Salmon","Kamishak District","Kamishak","09-18",0-09-18,0.973,3.59290403075376,0.160304621607893,0.973218676225452,0.979,0.965,48650,111895,48950,48250,112585,110975,"All","Aggregate"
262,"Chum Salmon","Kamishak District","Kamishak","09-19",0-09-19,0.976,3.68619890885756,0.163768721449036,0.975545890174437,0.981,0.968,48800,112240,49050,48400,112815,111320,"All","Aggregate"
